MMS Id,Author,Creator,Language,Language Code,Material Type,Place of Publication - City,Place of Publication - Country,Place of Publication - State,Publication Date,Publication Place,Publisher,Subjects,Title,Author (contributor),Requests
9925080333604107,,"Griesbach, Jo. Jac.",Latin,lat,Book,,Germany,,[1809. Typis aademiis ;],"Lipsiae : Cantabrigiae Nov-Anglorum, sumptibus W. Wells et W. Hilliard.",GJ Göschen 1805,Bible. Greek. New Testament.; Bible. New Testament.,... Novum Testamentum graece /,"Columbian College in the District of Columbia. Library. former owner.; Griesbach, Jo. Jac., 1745-1812.",1
9926930703604107,"Calvin, Jean, 1509-1564.","Calvin, Jean",Latin,lat,Book,,Switzerland,,1617,"Genevae,",Apud Iohannem Vignon Petrum and Iacobum Chouët,Reformed Church.; Theology.,... Opera omnia theologica in septem tomos digesta.,"Columbian College in the District of Columbia. Library. former owner.; Bèze, Théodore de, 1519-1605.",0
9926732863604107,"Leland, John, 1691-1766.","Leland, John",english,eng,Book,,United States,Pennsylvania,1818,Philadelphia:,(William Fry printer); Published by Anthony Finley,"Christianity--Essence, genius, nature.; Paganism.; Gold tooled leather (Binding); Stained leather (Binding); Dentelle bindings (Binding); Fillet tools (Binding); Ink stamps (Provenance); Leather bindings (Binding); Lettering pieces (Binding); Library copies (Provenance); Publishers' advertisements--Pennsylvania--Philadelphia.; Sprinkled edges (Binding)","... The advantage and necessity of the Christian revelation, shewn from the state of religion in the antient heathen world: especially with respect to the knowledge and worship of the one true god: a rule of moral duty: and a state of future rewards and punishments. To which is prefixed, a preliminary discourse on natural and revealed religion. In two volumes.","Columbian College in the District of Columbia. Library. former owner.; Fry, William, 1777-1855, printer, 1818.; Finley, A. publisher, 1818. (Anthony),",2
9925495053604107,,Columbian College in the District of Columbia. Library.,hebrew,heb,Book,,United Kingdom,England,1817,Londini :,Typis excudebat A Macintosh,,[Brit ḥdshh ʻl pi mshiḥ : nʻtk mlshon yon llshon ʻbri (romanized form)].,Columbian College in the District of Columbia. Library. former owner.,1
9977272003604107,,"Judson, Adoniram",Burmese,bur,Book,,Burma,,1815,[Rangoon?] :,American Baptist Missionary Union?,,[Gospel of St. Matthew in Burmese].,"Columbian College in the District of Columbia. Library. former owner.; American Baptist Missionary Union.; Judson, Adoniram, 1788-1850.",1
9926786253604107,"Luther, Martin, 1483-1546.","Luther, Martin",english,eng,Book,,United Kingdom,England,[16--?],[England?] :,publisher not identified,Sermons.,[Luther's sermons].,Columbian College in the District of Columbia. Library. former owner.,1
9926871453604107,"Beveridge, William, 1637-1708.","Beveridge, William","Greek, Ancient (to 1453)",grc,Book,,United Kingdom,England,1672,"Oxonii,",E theatro Sheldoniano sumptibus Guilielmi Wells and Roberti Scott Lond,"30 - 600; Canon law--Early church, ca. 30-600.; Canon law--Early church.; Christian literature, Early.; Councils and synods.","[Synodikon (romanized form)], sive Pandectae canonum ss. apostolorum, et conciliorum ab Ecclesia graeca receptorum;","Columbian College in the District of Columbia. Library. former owner.; Yūsuf, al-Miṣrī al-Qibṭī.",0
9923325143604107,,"Almeida, João Ferreira d'",Portuguese,por,Book,,United Kingdom,England,1819,London :,REA Taylor,,"A Biblia Sagrada : contendo o Velho e o Novo Testamento, traduzida em portuguez pelo padre João Ferreira d'Almeida.","Columbian College in the District of Columbia. Library. former owner.; Almeida, João Ferreira d', 1628-1691, translator.",1
9926766473604107,"Brown, John, 1722-1787.","Brown, John",English,eng,Book,,United States,New York,1812,"Brooklyn, N.Y. :",Printed by Thomas Kirk,"Bible Concordances, English.; Bible.; Concordances.","A brief concordance to the Holy Scriptures of the Old and New Testaments : by which all, or most, of the principal texts of Scripture may be easily found out /",Columbian College in the District of Columbia. Library. former owner.,1
9926444823604107,"Barrow, Isaac, 1630-1677.","Barrow, Isaac",English,eng,Book,,United Kingdom,England,1697,London :,Printed by JH for Brabazon Aylmer,Lord's prayer Early works to 1800.; Ten commandments Early works to 1800.; Sacraments--Anglican Communion.,"A brief exposition on the creed : the Lord's prayer, and Ten commandments. To which is added the doctrine of the sacraments. /",Columbian College in the District of Columbia. Library. former owner.,1
